AgentId;TimeStep;Co2EmissionsInT;FuelConsumptionInThermalMWH;AwardedEnergyInMWH;OfferedEnergyInMWH;ReceivedMoneyInEUR;VariableCostsInEUR;FixedCostsInEUR;InvestmentAnnuityInEUR
504;2021-01-01 00:00:00;3452.30162721441;17090.60211492281;6930.9999999999745;28808.999999999996;1853849.1622028542;1998438.2042480628;0;0
504;2021-01-01 01:00:00;2650.9474837670414;13123.50239488634;5365.9999999999845;28808.999999999996;1410757.2094133603;1373120.7394034634;0;0
504;2021-01-01 02:00:00;2244.877789193362;11113.256382145353;4562.999999999986;28808.999999999996;1190085.0312156193;1162810.1196366171;0;0
504;2021-01-01 03:00:00;1630.9038760778876;8073.781564742019;3335.9999999999836;28808.999999999996;858948.8869135872;844806.8121522339;0;0
504;2021-01-01 04:00:00;1435.395903319348;7105.9203134621175;2941.999999999982;28808.999999999996;754535.3526151881;743540.941443945;0;0
504;2021-01-01 05:00:00;1378.4802569971769;6824.159688104835;2826.9999999999823;28808.999999999996;724332.0414414466;714060.3899192376;0;0
504;2021-01-01 06:00:00;1357.704532181452;6721.309565254712;2784.9999999999823;28808.999999999996;713570.8296478348;703299.1781256257;0;0
504;2021-01-01 07:00:00;2073.45722677333;10264.639736501633;4221.999999999975;28808.999999999996;1096779.1131705774;1114358.58215928;0;0
504;2021-01-01 08:00:00;2130.6979223964295;10548.009516814007;4335.999999999975;28808.999999999996;1128632.730371118;1109434.7110810108;0;0
504;2021-01-01 09:00:00;1705.046869146003;8440.826084881204;3484.9999999999936;28808.999999999996;899080.9122546695;883209.6284795287;0;0
504;2021-01-01 10:00:00;1285.0854697164684;6361.80925602212;2637.9999999999995;28808.999999999996;674586.8414582401;665684.4159221437;0;0
504;2021-01-01 11:00:00;1232.7837778938429;6102.88998957348;2531.9999999999945;28808.999999999996;646849.126114657;638593.3635141824;0;0
504;2021-01-01 12:00:00;1564.3230002063488;7744.173268348261;3201.9999999999804;28808.999999999996;823637.069626712;830486.9041657877;0;0
504;2021-01-01 13:00:00;1432.4250228471394;7091.212984391778;2935.999999999982;28808.999999999996;752996.531365803;742002.1201945599;0;0
504;2021-01-01 14:00:00;1990.73572379764;9855.127345532872;4056.9999999999764;28808.999999999996;1052871.5360544291;1065752.1617637933;0;0
504;2021-01-01 15:00:00;2555.5696583887825;12651.334942518723;5177.999999999966;28808.999999999996;1358602.788726732;1355413.5209139;0;0
504;2021-01-01 16:00:00;3096.835071348974;15330.866689846402;6239.999999999956;28808.999999999996;1655496.8753180744;1635734.3570806046;0;0
504;2021-01-01 17:00:00;3168.1351980652094;15683.8376141842;6378.9999999999545;28808.999999999996;1695810.578854334;1646731.4491411424;0;0
504;2021-01-01 18:00:00;2994.950305525407;14826.486661016863;6040.999999999958;28808.999999999996;1599460.2399526068;1551279.5208782959;0;0
504;2021-01-01 19:00:00;2670.759115128652;13221.57977786461;5404.999999999985;28808.999999999996;1422438.6611139295;1383381.3180668205;0;0
504;2021-01-01 20:00:00;2093.538026258107;10364.049634941122;4262.000000000004;28808.999999999996;1108269.506566931;1084426.5289827685;0;0
504;2021-01-01 21:00:00;362.38108021547134;1793.9657436409475;751.0000000000081;28808.999999999996;188367.39256053057;187724.79254276826;0;0
504;2021-01-01 22:00:00;0.0;0.0;0.0;28808.999999999996;0.0;0.0;0;0
504;2021-01-01 23:00:00;0.0;0.0;0.0;28808.999999999996;0.0;0.0;0;0
